category_name,location,object_code,serial_number
Nitrogen Dioxide Detector/Monitor,OTA,,
Pelican Case for Solar Setup,OTA,setyl.it/K8F2JT,
Pick,OTA,,
Pop-up Stationary Infantry Target Lifter,OTA,setyl.it/VNKF6B,#1
Pop-up Stationary Infantry Target Lifter,OTA,setyl.it/ZZF3WB,#2
Pressure-Washers with Honda Motors,OTA,,
PR-Pyro-AAA/30/10,OTA,,
PR-Pyro-AAA/30/11,OTA,,
PR-Pyro-AAA/30/12,OTA,,
PR-Pyro-AAA/30/13,OTA,,
PR-Remote Kit - 6,OTA,,
PR-Remote Kit - 6,OTA,,
PR-Remote Kit - 6,OTA,,
PR-XMTR12C Transmitter,OTA,,
PR-XMTR12C Transmitter,OTA,,
PR-XMTR12C Transmitter,OTA,,
Ranger 300 Solar Panel,OTA,setyl.it/HSYXCD,
Ranger 300 Solar Panel,OTA,setyl.it/SY7CLS,
Kubota Skid-Steer,OTA,setyl.it/ZYU690,
Kubota Skid-Steer - Box Blade,OTA,setyl.it/SH77H7,
Sawzall,OTA,setyl.it/MUQ6HW,
Flat Shovel,OTA,setyl.it/TJB4EL,
Flat Shovel,OTA,setyl.it/Q06PL4,
Flat Shovel,OTA,setyl.it/NSXCQV,
Spade Shovels,OTA,setyl.it/XJH2GJ,
Spade Shovels,OTA,setyl.it/TZZ42V,
Spade Shovels,OTA,setyl.it/D55H0B,
Spade Shovels,OTA,,
Spill Dams,OTA,,
Spill Dams,OTA,,
Surge Protectors,OTA,,
Surge Protectors,OTA,,
Surge Protectors,OTA,,
Surge Protectors,OTA,,
Surge Protectors,OTA,,
Table Saw,OTA,setyl.it/NC8KY7,
Tape Measures,OTA,setyl.it/1PSJGA,
Tape Measures,OTA,setyl.it/P1LJLP,
Tape Measures,OTA,setyl.it/F9CL3C,
Tool Bags,OTA,,
Tow Strap,OTA,,
Tripod,OTA,,
Tripod,OTA,,
Vehicle Recovery Boards,OTA,,
Vehicle Recovery Boards,OTA,,
Water Canisters,OTA,setyl.it/2BDU3W,
Water Canisters,OTA,setyl.it/RZMUQX,
Water Canisters,OTA,setyl.it/SB4X13,
Water Canisters,OTA,setyl.it/16LD9C,
Wheel Barrow,OTA,,
Yeti 12V Car Charging Cable (#1-4),OTA,,
Dewalt Tool Battery,OTA,setyl.it/PRMYNL,F023UEN
Dewalt Tool Battery,OTA,setyl.it/U6CJBE,F050RWG
Dewalt Tool Battery,OTA,setyl.it/BM0A57,L0E9N0N
Tape Measure,OTA,setyl.it/GLK8GL,
10lbs ABC Fire Extinguishers,RIC,,
Alienware Aurora Ryzen Gaming Computer,RIC,,
Amagine Axis Q8752 Cameras,RIC,,
Apricorn Drives- 128 GB Mac,RIC,,
Apricorn Drives- 128 GB Mac,RIC,,
Apricorn Drives- 5 TB Windows,RIC,,
Apricorn Drives- 5 TB Windows,RIC,,
Atmospheric Transmissometer,RIC,,
CACI Computer,RIC,,
CACI Spectrum Analyzer Power Source,RIC,,
CACI Wedge antenna,RIC,,
Camera Trailer,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
DAS,RIC,,
Document Storage - Secure,RIC,,
Document Storage - Secure,RIC,,
EchoDyne 8' Cable (#1-4),RIC,,
EchoDyne Toughbook,RIC,,
Extension Cords,RIC,,
Extension Cords,RIC,,
External G Drives- 7.68 TB,RIC,,
External G Drives- 7.68 TB,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Flashlights,RIC,,
Fluke Current Pen,RIC,,
General Tool Kit,RIC,,
GoalZero Yeti Batteries (#1-4),RIC,,
GoPro - Squid Mounts (#1-2),RIC,,
GoPro - Squid Mounts (#1-2),RIC,,
GoPro (#1-#2),RIC,,
GoPro (#1-#2),RIC,,
GoPro Battery Chargers (#1-2),RIC,,
GoPro Battery Chargers (#1-2),RIC,,
GoPro Spare Batteries (#1-6),RIC,,
GoPro Spare Batteries (#1-6),RIC,,
GoPro Spare Batteries (#1-6),RIC,,
GoPro Spare Batteries (#1-6),RIC,,
GoPro Spare Batteries (#1-6),RIC,,
GoPro Spare Batteries (#1-6),RIC,,
GPS Device  (#1 & #2),RIC,,
GPS Device  (#1 & #2),RIC,,
Head Lamp,RIC,,
Head Lamp,RIC,,
Head Lamp,RIC,,
Head Lamp,RIC,,
Head Lamp,RIC,,
Head Lamp,RIC,,
Head Lamp,RIC,,
HP Headset,RIC,,
INVERIS Dipole Antennae and Installation Kit,RIC,,
INVERIS E-charge Batteries,RIC,,
INVERIS E-charge Batteries,RIC,,
INVERIS Raveon White Box,RIC,,
Keurig Coffee Maker,RIC,,
Klein Screw Driver,RIC,,
Kubotas,RIC,,
Kubotas,RIC,,
Large TV Monitor Rolling Cart/Stand (#1 & #2),RIC,,
Large TV Monitor Rolling Cart/Stand (#1 & #2),RIC,,
Large TV Monitor Tough Transport Box (#1 & #2),RIC,,
Large TV Monitor Tough Transport Box (#1 & #2),RIC,,
Large TV Monitors,RIC,,
Large TV Monitors,RIC,,
Laser Pointer,RIC,,
Laser Pointer,RIC,,
Laser Pointer,RIC,,
Laser Pointer,RIC,,
Leather Gloves,RIC,,
Leather Gloves,RIC,,
Lighters,RIC,,
Mini Fridge,RIC,,
Mobile Equipment Cabinets (#1 & #2),RIC,,
Mobile Equipment Cabinets (#1 & #2),RIC,,
Multiple Gas Detector/Monitor,RIC,,
Netgear Nighthawks M5,RIC,,
Netgear Nighthawks M5,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6 Antennae,RIC,,
Nighthawk M6- Netgear,RIC,,
Nighthawk M6- Netgear,RIC,,
Nighthawk M6- Netgear,RIC,,
Nighthawk M6- Netgear,RIC,,
Nighthawk SIM Cards,RIC,,
Nighthawk SIM Cards,RIC,,
NODs,RIC,,
NODs,RIC,,
Quick Start Kit,RIC,,
Radar Panasonic Toughbook 33,RIC,,
Radar Panasonic Toughbook Keyboard,RIC,,
Radar Units,RIC,,
Range Controller Station,RIC,,
Range Finder,RIC,,
Rapid-Deployment Kit,RIC,,
SD Card - SanDisk 128GB,RIC,,
SD Card - SanDisk 128GB,RIC,,
Silvus antenna- Large Directional 15dBi,RIC,,
Silvus antenna- Large Directional 15dBi,RIC,,
Silvus Desktop Charger,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODA cable,RIC,,
Silvus ODU cable,RIC,,
Silvus ODU cable,RIC,,
Silvus ODU cable,RIC,,
Silvus power cables,RIC,,
Silvus power cables,RIC,,
Silvus power cables,RIC,,
Silvus power cables,RIC,,
Silvus power cables,RIC,,
Silvus power cables,RIC,,
Skydio X2d,RIC,,
